"","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365.2.5","B365.2.5.1"
"1","09/08/2019","20:00","Liverpool","Norwich",4,1,"H",4,0,"H","M Oliver",15,12,7,5,9,9,11,2,0,2,0,0,1.14,10,19,1.4,3
"2","10/08/2019","12:30","West Ham","Man City",0,5,"A",0,1,"A","M Dean",5,14,3,9,6,13,1,1,2,2,0,0,12,6.5,1.22,1.44,2.75
"3","10/08/2019","15:00","Bournemouth","Sheffield United",1,1,"D",0,0,"D","K Friend",13,8,3,3,10,19,3,4,2,1,0,0,1.95,3.6,3.6,1.9,1.9
"4","10/08/2019","15:00","Burnley","Southampton",3,0,"H",0,0,"D","G Scott",10,11,4,3,6,12,2,7,0,0,0,0,2.62,3.2,2.75,2.1,1.72
"5","10/08/2019","15:00","Crystal Palace","Everton",0,0,"D",0,0,"D","J Moss",6,10,2,3,16,14,6,2,2,1,0,1,3,3.25,2.37,2.2,1.66
"6","10/08/2019","15:00","Watford","Brighton",0,3,"A",0,1,"A","C Pawson",11,5,3,3,15,11,5,2,0,1,0,0,1.9,3.4,4,2.1,1.72
"7","10/08/2019","17:30","Tottenham","Aston Villa",3,1,"H",0,1,"A","C Kavanagh",31,7,7,4,13,9,14,0,1,0,0,0,1.3,5.25,10,1.66,2.2
"8","11/08/2019","14:00","Leicester","Wolves",0,0,"D",0,0,"D","A Marriner",15,8,1,2,3,13,12,3,0,2,0,0,2.2,3.2,3.4,2.2,1.66
"9","11/08/2019","14:00","Newcastle","Arsenal",0,1,"A",0,0,"D","M Atkinson",9,8,2,2,12,7,5,3,1,3,0,0,4.5,3.75,1.72,1.8,2
"10","11/08/2019","16:30","Man United","Chelsea",4,0,"H",1,0,"H","A Taylor",11,18,5,7,15,13,3,5,3,4,0,0,2.1,3.3,3.5,2,1.8
"11","17/08/2019","12:30","Arsenal","Burnley",2,1,"H",1,1,"D","M Dean",16,18,9,5,13,11,10,7,2,1,0,0,1.3,5.5,10,1.57,2.37
"12","17/08/2019","15:00","Aston Villa","Bournemouth",1,2,"A",0,2,"A","M Atkinson",22,12,7,4,10,13,10,5,0,2,0,0,2.3,3.4,3.1,1.8,2
"13","17/08/2019","15:00","Brighton","West Ham",1,1,"D",0,0,"D","A Taylor",16,8,4,3,11,10,8,6,0,2,0,0,2.55,3.25,2.87,1.9,1.9
"14","17/08/2019","15:00","Everton","Watford",1,0,"H",1,0,"H","L Mason",12,8,2,2,11,11,4,7,2,3,0,0,1.72,3.8,4.75,1.72,2.1
"15","17/08/2019","15:00","Norwich","Newcastle",3,1,"H",1,0,"H","S Attwell",15,10,8,3,9,11,7,5,1,3,0,0,2.25,3.3,3.3,1.9,1.9
"16","17/08/2019","15:00","Southampton","Liverpool",1,2,"A",0,1,"A","A Marriner",14,15,3,6,10,6,5,9,2,1,0,0,6.5,4.75,1.44,1.66,2.2
"17","17/08/2019","17:30","Man City","Tottenham",2,2,"D",2,1,"H","M Oliver",30,3,10,2,14,4,13,2,1,0,0,0,1.36,5.25,8,1.53,2.5
"18","18/08/2019","14:00","Sheffield United","Crystal Palace",1,0,"H",0,0,"D","D Coote",15,6,3,4,16,11,8,4,3,1,0,0,2.55,3.1,2.9,2.3,1.61
"19","18/08/2019","16:30","Chelsea","Leicester",1,1,"D",1,0,"H","O Langford",14,12,5,3,9,14,4,5,1,0,0,0,1.7,3.75,5,1.9,1.9
"20","19/08/2019","20:00","Wolves","Man United",1,1,"D",0,1,"A","J Moss",6,9,2,2,17,8,4,6,2,2,0,0,3.3,3.3,2.25,2.1,1.72
"21","23/08/2019","20:00","Aston Villa","Everton",2,0,"H",1,0,"H","M Oliver",7,12,3,1,10,18,0,6,2,3,0,0,3.25,3.5,2.15,1.72,2.1
"22","24/08/2019","12:30","Norwich","Chelsea",2,3,"A",2,2,"D","M Atkinson",6,23,5,8,9,9,1,8,1,1,0,0,4.33,3.75,1.8,1.53,2.5
"23","24/08/2019","15:00","Brighton","Southampton",0,2,"A",0,0,"D","K Friend",12,12,3,4,9,10,8,5,1,3,1,0,2.4,3.3,3,2.1,1.72
"24","24/08/2019","15:00","Man United","Crystal Palace",1,2,"A",0,1,"A","P Tierney",22,5,3,3,8,18,8,1,2,4,0,0,1.33,5.25,9,1.72,2.1
"25","24/08/2019","15:00","Sheffield United","Leicester",1,2,"A",0,1,"A","A Madley",8,10,3,2,11,6,7,4,1,0,0,0,3.3,3.3,2.25,2.3,1.61
"26","24/08/2019","15:00","Watford","West Ham",1,3,"A",1,1,"D","C Kavanagh",23,16,3,10,12,11,8,7,1,1,0,0,2.05,3.5,3.5,1.72,2.1
"27","24/08/2019","17:30","Liverpool","Arsenal",3,1,"H",1,0,"H","A Taylor",25,9,5,3,8,5,6,4,1,1,0,0,1.5,4.6,6,1.44,2.75
"28","25/08/2019","14:00","Bournemouth","Man City",1,3,"A",1,2,"A","A Marriner",10,19,7,5,7,13,4,5,1,3,0,0,15,7.5,1.16,1.36,3.2
"29","25/08/2019","16:30","Tottenham","Newcastle",0,1,"A",0,1,"A","M Dean",17,8,2,3,10,5,6,6,2,2,0,0,1.2,6.5,14,1.53,2.5
"30","25/08/2019","16:30","Wolves","Burnley",1,1,"D",0,1,"A","C Pawson",17,13,2,4,9,11,4,3,0,2,0,0,1.85,3.4,4.5,2.3,1.61
"31","31/08/2019","12:30","Southampton","Man United",1,1,"D",0,1,"A","M Dean",10,21,2,8,17,7,2,3,1,2,1,0,3.8,3.3,2.05,1.9,1.9
"32","31/08/2019","15:00","Chelsea","Sheffield United",2,2,"D",2,0,"H","S Attwell",13,8,5,2,6,11,3,4,0,1,0,0,1.36,4.75,9,1.72,2.1
"33","31/08/2019","15:00","Crystal Palace","Aston Villa",1,0,"H",0,0,"D","K Friend",22,10,5,2,15,16,13,2,2,4,0,1,2.15,3.3,3.5,1.9,1.9
"34","31/08/2019","15:00","Leicester","Bournemouth",3,1,"H",2,1,"H","P Bankes",13,8,5,2,9,11,4,5,1,3,0,0,1.7,4,4.75,1.66,2.2
"35","31/08/2019","15:00","Man City","Brighton",4,0,"H",2,0,"H","J Moss",15,6,6,2,10,6,8,1,1,1,0,0,1.08,10,26,1.3,3.5
"36","31/08/2019","15:00","Newcastle","Watford",1,1,"D",1,1,"D","G Scott",13,13,5,3,5,11,6,5,2,3,0,0,2.5,3.25,2.87,2,1.8
"37","31/08/2019","15:00","West Ham","Norwich",2,0,"H",1,0,"H","P Tierney",18,8,8,3,16,10,8,2,2,1,0,0,1.85,3.9,3.9,1.44,2.75
"38","31/08/2019","17:30","Burnley","Liverpool",0,3,"A",0,2,"A","C Kavanagh",7,15,2,7,10,16,6,4,0,0,0,0,9.5,5.5,1.3,1.61,2.3
"39","01/09/2019","14:00","Everton","Wolves",3,2,"H",2,1,"H","A Taylor",15,8,6,5,12,12,7,7,1,4,0,1,2.2,3.25,3.5,2.2,1.66
"40","01/09/2019","16:30","Arsenal","Tottenham",2,2,"D",1,2,"A","M Atkinson",26,13,8,9,13,19,11,6,3,5,0,0,2.37,3.6,2.8,1.57,2.37
"41","14/09/2019","12:30","Liverpool","Newcastle",3,1,"H",2,1,"H","A Marriner",21,8,9,1,5,4,10,1,0,0,0,0,1.14,8.5,17,1.4,3
"42","14/09/2019","15:00","Brighton","Burnley",1,1,"D",0,0,"D","M Oliver",14,7,5,1,13,7,3,6,0,2,0,0,2.15,3.3,3.5,2.1,1.72
"43","14/09/2019","15:00","Man United","Leicester",1,0,"H",1,0,"H","M Atkinson",10,9,5,3,14,14,3,9,1,2,0,0,1.95,3.5,4,1.9,1.9
"44","14/09/2019","15:00","Sheffield United","Southampton",0,1,"A",0,0,"D","L Mason",17,11,4,7,10,7,12,6,1,1,1,0,2.45,3.2,3,2.1,1.72
"45","14/09/2019","15:00","Tottenham","Crystal Palace",4,0,"H",4,0,"H","C Pawson",13,11,5,6,19,11,4,3,4,2,0,0,1.36,5.25,8,1.61,2.3
"46","14/09/2019","15:00","Wolves","Chelsea",2,5,"A",0,3,"A","G Scott",11,15,4,6,8,11,7,5,1,2,0,0,2.9,3.3,2.5,1.9,1.9
"47","14/09/2019","17:30","Norwich","Man City",3,2,"H",2,1,"H","K Friend",7,25,3,8,8,7,3,16,3,1,0,0,15,9,1.14,1.22,4.33
"48","15/09/2019","14:00","Bournemouth","Everton",3,1,"H",1,1,"D","P Tierney",13,14,6,5,5,14,7,7,0,4,0,0,2.9,3.5,2.4,1.72,2.1
"49","15/09/2019","16:30","Watford","Arsenal",2,2,"D",0,2,"A","A Taylor",31,10,7,4,14,4,7,1,3,3,0,0,3.6,3.6,2,1.57,2.37
"50","16/09/2019","20:00","Aston Villa","West Ham",0,0,"D",0,0,"D","M Dean",10,13,5,1,13,12,2,4,2,1,0,1,2.62,3.5,2.6,1.61,2.3
"51","20/09/2019","20:00","Southampton","Bournemouth",1,3,"A",0,2,"A","C Kavanagh",25,6,6,3,8,9,4,5,1,3,0,0,2.05,3.6,3.5,1.66,2.2
"52","21/09/2019","12:30","Leicester","Tottenham",2,1,"H",0,1,"A","P Tierney",16,11,7,4,16,13,8,2,1,2,0,0,2.87,3.5,2.37,1.8,2
"53","21/09/2019","15:00","Burnley","Norwich",2,0,"H",2,0,"H","D Coote",13,11,6,2,11,10,7,3,0,1,0,0,2,3.8,3.5,1.66,2.2
"54","21/09/2019","15:00","Everton","Sheffield United",0,2,"A",0,1,"A","S Hooper",16,2,3,1,9,9,12,3,1,3,0,0,1.61,3.75,6,2,1.8
"55","21/09/2019","15:00","Man City","Watford",8,0,"H",5,0,"H","M Dean",28,5,11,4,5,9,5,4,2,2,0,0,1.1,11,21,1.25,4
"56","21/09/2019","17:30","Newcastle","Brighton",0,0,"D",0,0,"D","M Atkinson",11,16,4,3,12,8,5,3,2,1,0,0,2.5,3.2,3,2.3,1.61
"57","22/09/2019","14:00","Crystal Palace","Wolves",1,1,"D",0,0,"D","S Attwell",13,14,4,4,7,10,6,7,2,1,0,1,2.62,3.1,2.87,2.37,1.57
"58","22/09/2019","14:00","West Ham","Man United",2,0,"H",1,0,"H","A Taylor",8,9,6,3,8,9,3,7,2,2,0,0,3.1,3.6,2.2,1.66,2.2
"59","22/09/2019","16:30","Arsenal","Aston Villa",3,2,"H",0,1,"A","J Moss",21,14,6,9,13,15,9,4,5,1,1,0,1.4,4.75,8,1.44,2.75
"60","22/09/2019","16:30","Chelsea","Liverpool",1,2,"A",0,2,"A","M Oliver",13,6,2,3,8,13,6,4,3,3,0,0,3.5,3.75,2,1.57,2.37
"61","28/09/2019","12:30","Sheffield United","Liverpool",0,1,"A",0,0,"D","A Taylor",12,16,2,4,8,4,6,5,1,1,0,0,9,5.25,1.33,1.61,2.3
"62","28/09/2019","15:00","Aston Villa","Burnley",2,2,"D",1,0,"H","L Mason",16,10,3,3,10,16,7,3,1,4,0,0,2.3,3.4,3.1,1.9,1.9
"63","28/09/2019","15:00","Bournemouth","West Ham",2,2,"D",1,1,"D","S Attwell",13,17,5,6,7,8,6,6,3,1,0,0,2.5,3.5,2.75,1.57,2.37
"64","28/09/2019","15:00","Chelsea","Brighton",2,0,"H",0,0,"D","C Kavanagh",24,8,10,1,5,13,5,2,2,3,0,0,1.4,4.75,8,1.66,2.2
"65","28/09/2019","15:00","Crystal Palace","Norwich",2,0,"H",1,0,"H","J Moss",15,10,3,3,14,10,5,5,3,1,0,0,1.9,3.75,3.75,1.72,2.1
"66","28/09/2019","15:00","Tottenham","Southampton",2,1,"H",2,1,"H","G Scott",9,14,4,6,5,16,6,6,0,2,1,0,1.4,4.75,8,1.57,2.37
"67","28/09/2019","15:00","Wolves","Watford",2,0,"H",1,0,"H","P Tierney",6,14,2,5,5,6,1,6,0,1,0,0,1.85,3.4,4.5,1.9,1.9
"68","28/09/2019","17:30","Everton","Man City",1,3,"A",1,1,"D","M Oliver",12,20,8,9,4,8,5,2,2,2,0,0,10,5.5,1.3,1.5,2.62
"69","29/09/2019","16:30","Leicester","Newcastle",5,0,"H",1,0,"H","C Pawson",13,3,5,0,12,9,9,0,1,1,0,1,1.5,4,7.5,2,1.8
"70","30/09/2019","20:00","Man United","Arsenal",1,1,"D",1,0,"H","K Friend",16,10,4,5,18,13,8,7,4,2,0,0,2.37,3.5,2.9,1.61,2.3
"71","05/10/2019","12:30","Brighton","Tottenham",3,0,"H",2,0,"H","J Moss",17,8,6,3,11,7,4,4,2,1,0,0,3.9,3.6,1.9,1.72,2.1
"72","05/10/2019","15:00","Burnley","Everton",1,0,"H",0,0,"D","G Scott",9,11,3,2,5,12,7,9,2,1,0,1,2.87,3.3,2.5,2.1,1.72
"73","05/10/2019","15:00","Liverpool","Leicester",2,1,"H",1,0,"H","C Kavanagh",18,2,8,1,9,17,4,6,1,4,0,0,1.44,4.75,7,1.57,2.37
"74","05/10/2019","15:00","Norwich","Aston Villa",1,5,"A",0,2,"A","A Madley",21,22,5,12,14,17,10,6,1,3,0,0,2.37,3.6,2.8,1.57,2.37
"75","05/10/2019","15:00","Watford","Sheffield United",0,0,"D",0,0,"D","A Marriner",8,9,2,3,7,6,7,7,0,2,0,0,2.05,3.4,3.6,2,1.8
"76","05/10/2019","17:30","West Ham","Crystal Palace",1,2,"A",0,0,"D","M Oliver",9,7,4,4,11,7,2,2,3,2,0,0,1.95,3.6,3.8,1.8,2
"77","06/10/2019","14:00","Arsenal","Bournemouth",1,0,"H",1,0,"H","M Atkinson",12,10,2,2,12,6,14,5,1,2,0,0,1.44,4.75,7,1.33,3.4
"78","06/10/2019","14:00","Man City","Wolves",0,2,"A",0,0,"D","C Pawson",18,7,2,2,11,14,9,1,5,2,0,0,1.12,9,21,1.36,3.2
"79","06/10/2019","14:00","Southampton","Chelsea",1,4,"A",1,3,"A","P Tierney",10,13,3,7,8,15,3,4,0,1,0,0,4,3.8,1.85,1.72,2.1
"80","06/10/2019","16:30","Newcastle","Man United",1,0,"H",0,0,"D","M Dean",12,12,2,3,12,10,4,6,3,3,0,0,4.5,3.5,1.85,2.2,1.66
"81","19/10/2019","12:30","Everton","West Ham",2,0,"H",1,0,"H","P Tierney",19,8,10,4,15,15,11,2,2,2,0,0,1.95,3.75,3.75,1.72,2.1
"82","19/10/2019","15:00","Aston Villa","Brighton",2,1,"H",1,1,"D","D Coote",24,20,8,5,9,17,7,5,1,2,0,1,2.35,3.4,3,1.8,2
"83","19/10/2019","15:00","Bournemouth","Norwich",0,0,"D",0,0,"D","L Mason",11,10,2,1,8,11,6,7,1,3,0,0,1.72,4.2,4.2,1.4,3
"84","19/10/2019","15:00","Chelsea","Newcastle",1,0,"H",0,0,"D","A Marriner",16,5,8,0,9,12,11,0,2,1,0,0,1.3,5.5,10,1.57,2.37
"85","19/10/2019","15:00","Leicester","Burnley",2,1,"H",1,1,"D","J Moss",19,13,3,4,4,10,9,4,0,3,0,0,1.57,4,6,1.9,1.9
"86","19/10/2019","15:00","Tottenham","Watford",1,1,"D",0,1,"A","C Kavanagh",12,7,2,2,5,9,11,2,4,3,0,0,1.4,5,7.5,1.53,2.5
"87","19/10/2019","15:00","Wolves","Southampton",1,1,"D",0,0,"D","P Bankes",4,14,1,5,10,17,1,3,3,2,0,0,1.8,3.6,4.5,2.1,1.72
"88","19/10/2019","17:30","Crystal Palace","Man City",0,2,"A",0,2,"A","A Taylor",7,21,2,10,8,10,1,8,1,1,0,0,12,7,1.22,1.44,2.75
"89","20/10/2019","16:30","Man United","Liverpool",1,1,"D",1,0,"H","M Atkinson",7,10,2,4,6,14,3,1,0,1,0,0,5.25,3.8,1.65,1.72,2.1
"90","21/10/2019","20:00","Sheffield United","Arsenal",1,0,"H",1,0,"H","M Dean",8,9,2,3,10,12,7,12,4,4,0,0,3.9,3.75,1.9,1.66,2.2
"91","25/10/2019","20:00","Southampton","Leicester",0,9,"A",0,5,"A","A Marriner",6,25,3,15,3,12,2,7,0,0,1,0,3.1,3.4,2.3,2,1.8
"92","26/10/2019","12:30","Man City","Aston Villa",3,0,"H",0,0,"D","G Scott",25,11,9,5,10,5,13,7,1,1,1,0,1.08,11,26,1.22,4.33
"93","26/10/2019","15:00","Brighton","Everton",3,2,"H",1,1,"D","A Madley",8,10,4,6,12,12,0,5,2,1,0,0,2.9,3.25,2.5,2,1.8
"94","26/10/2019","15:00","Watford","Bournemouth",0,0,"D",0,0,"D","M Dean",7,15,3,5,14,8,5,10,5,3,0,0,2.15,3.6,3.25,1.66,2.2
"95","26/10/2019","15:00","West Ham","Sheffield United",1,1,"D",1,0,"H","D Coote",12,10,4,4,7,10,10,4,2,2,0,0,2.1,3.5,3.5,1.9,1.9
"96","26/10/2019","17:30","Burnley","Chelsea",2,4,"A",0,2,"A","M Oliver",13,16,5,7,7,8,5,6,3,2,0,0,4.5,4,1.72,1.66,2.2
"97","27/10/2019","14:00","Newcastle","Wolves",1,1,"D",1,0,"H","K Friend",13,13,2,5,8,15,3,6,2,2,1,0,3,3.1,2.55,2.5,1.53
"98","27/10/2019","16:30","Arsenal","Crystal Palace",2,2,"D",2,1,"H","M Atkinson",15,10,6,4,18,9,12,5,2,0,0,0,1.45,4.75,6.5,1.53,2.5
"99","27/10/2019","16:30","Liverpool","Tottenham",2,1,"H",0,1,"A","A Taylor",21,11,13,4,9,11,8,3,3,3,0,0,1.5,4.33,6.5,1.53,2.5
"100","27/10/2019","16:30","Norwich","Man United",1,3,"A",0,2,"A","S Attwell",10,21,3,11,13,10,1,10,2,2,0,0,4.33,4,1.75,1.66,2.2
"101","02/11/2019","12:30","Bournemouth","Man United",1,0,"H",1,0,"H","C Kavanagh",12,15,6,4,14,12,4,10,4,3,0,0,3.25,3.6,2.15,1.9,1.9
"102","02/11/2019","15:00","Arsenal","Wolves",1,1,"D",1,0,"H","M Oliver",10,25,4,8,6,15,8,9,0,2,0,0,1.75,3.75,4.75,1.72,2.1
